site,fire,retention,year_sap_beetles,sap_beetles_sr,year_pollinators,pollinators_sr,year_vegetation,plant_sr,bryo_sr,lichen_sr
3,yes,0,2011,58,2013,26,2011,21,17,14
5,yes,50,2011,87,2013,23,2011,18,6,16
6,no,50,2011,93,2013,29,2011,29,32,15
7,no,0,2011,51,2013,20,2011,28,32,13
9,no,50,2011,80,2013,20,2011,27,36,14
10,no,0,2011,64,2013,32,2011,19,25,12
11,yes,50,2011,65,2013,34,2011,23,14,16
12,yes,50,2011,82,2013,40,2011,30,16,13
17,yes,0,2011,67,2013,36,2011,31,19,14
21,no,0,2011,60,2013,31,2011,17,26,20
22,yes,0,2011,57,2013,27,2011,14,13,11
23,no,50,2011,78,2013,14,2011,10,10,13
30,yes,control,2011,103,2013,22,2011,5,20,13
31,yes,control,2011,101,2013,18,2011,5,17,14
32,yes,control,2011,129,2013,13,2011,11,22,10
33,no,control,2011,68,2013,6,2011,11,13,5
34,no,control,2011,93,2013,10,2011,12,18,2
35,no,control,2011,81,2013,16,2011,24,21,1
